Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Average Working Days,11.49425287,13.40996169,12.83524904,13.79310345,15,14.44444444,15,14.24731183,14.51612903,15.23297491,16.04938272,14.58333333,14.81481481
Standard Working Days,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2
