Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Standard CUR,1.11,1.13,1.09,0.679675132,0.758483034,0.612109115,0.981370592,0.840254974,0.811280664,0.851522761,0.812660393,0.798403194,0.824109357
Available CUR,1.07,1.04,1.05,0.968137255,0.953336678,0.800069571,1.233638607,1.113101331,1.046598555,1.053868834,0.960674157,1.040650407,1.068627451
Actual Productivity,1.04,1.03,1.01,0.802845528,0.844444444,0.766666667,1.156862745,1.0875,0.933333333,1.037254902,0.95,1.066666667,0.95113438
