Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
KEN,55424.2,53854.2,53717.2,55602.2,67489,62626,65384,62802,122541,131633,143370,133790,141321
UGA,9700.2,11836.2,8801.2,9860.2,13040,12975,13698,13635,20288,21918,23118,21691,25308
TZA,9402.2,10189.2,10022.2,11042.2,15300,12221,13748,14075,18553,19466,22281,18777,23771
ZAM,9595.2,9726.2,10106.2,10834.2,17093,16950,17242,19295,23510,25480,26485,25529,29071
BOT,8187.2,8466.2,7940.2,9064.2,9928,9587,11087,10483,15858,15658,18118,18116,18161
ZAR,7025,6325,4468,5418,5318,6304,5789,6792,7378,7432,8112,6287,21216
