Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Pass 2 errors,15,13,15,16,8,7,17,10,12,9,8,10,12
Checker Accuracy,0.999687922,0.999701186,0.999736994,0.999793756,0.99992978,0.9999337,0.99985821,0.999913442,0.999913515,0.999954871,0.999813652,0.999857264,0.999884102
Point Zero Target,0.99946,0.99946,0.99946,0.99946,0.99946,0.99946,0.99946,0.99946,0.99993,0.99993,0.99993,0.99993,0.99993
50% Gap,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99997,0.99997,0.99997,0.99997,0.999965
