Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Monday,0,2195,1836,2035,1657,1515,1609,2474,2265,1927,2075,0,0
Tuesday,0,2534,1890,2117,1728,1454,1716,1433,1798,2043,2046,0,0
Wednesday,0,3320,2706,2801,2360,2505,2474,1716,1870,2008,2191,0,0
Thursday,0,3199,2541,2587,2541,2135,2230,1890,1912,2050,2119,0,0
Friday,0,2529,2838,2748,2695,2415,2394,1653,1923,1949,1932,0,0
