Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
KEN,299813,265679,255759,255772,323841,297634,306643,285946,284401,297984,327331,318409,364561
UGA,60123,100703,54275,49367,57960,56111,59540,53321,44050,52717,54825,51333,62649
TZA,58717,54870,69779,58177,69472,58310,71145,52900,54175,61184,71087,56702,77863
ZAM,48387,41522,41163,44865,74830,46117,49635,49979,45693,44809,49029,52038,58301
BOT,34760,34080,31506,34633,34483,34131,38766,36073,33690,37275,36299,35037,40793
ZAR,116666,132882,92068,47982,63936,73518,63872,44680,42850,45663,49078,42957,68961
