Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
KEN,0,0,0,0,0,0.193548387,0.210526316,0.163716814,0.135245902,0.094736842,0.154320988,0.142857143,0.000113217
UGA,0,0,0,0,0,0.165322581,0.149797571,0.168141593,0.245901639,0.136842105,0.234567901,0.170068027,0.001066856
TZA,0,0,0,0,0,0.245967742,0.206477733,0.190265487,0.204918033,0.252631579,0.216049383,0.224489796,0.00109377
ZAM,0,0,0,0,0,0.185483871,0.186234818,0.181415929,0.151639344,0.168421053,0.172839506,0.19047619,0.000791166
BOT,0,0,0,0,0,0.153225806,0.165991903,0.150442478,0.143442623,0.173684211,0.154320988,0.163265306,0.001431639
ZAR,0,0,0,0,0,56.91803279,0.003454828,0.004858657,0.003930604,0.004440258,0.067901235,0.108843537,0.000707014
