Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
No Of Staff Not Completed,1,3,1,0,0,0,0,0,6,0,0,0,0
Completion Rate %,0.985294118,0.956521739,0.985507246,1,1,1,1,1,0.917808219,1,1,1,1
