Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Total Reject,378,485,413,396,317,248,247,226,244,190,162,147,133
% Total Rejects,0.003805344,0.004830822,0.004344853,0.003889178,0.002473316,0.002055311,0.001945679,0.001778379,0.002584116,0.001941767,0.001538023,0.001395614,0.00125916
