Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Employed Worker (FTE),63,64,64,64,65,65,65,65,65,65,66,66,66
Non-employed Worker (NFTE),5,5,5,5,9,6,6,8,8,8,8,9,11
% of Non-employed workforce,0.103448276,0.103448276,0.103448276,0.103448276,0.1,0.1,0.084507042,0.109589041,0.109589041,0.109589041,0.108108108,0.12,0.142857143
