Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Pass 1 errors,323,360,413,323,273,265,265,247,281,265,235,235,213
Maker Accuracy,0.996436266,0.996115422,0.995392141,0.996621522,0.997799763,0.9977375,0.997770741,0.997969815,0.998563384,0.998758952,0.998840503,0.998809046,0.999061225
Point Zero Target,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.998,0.998,0.998,0.998,0.998
50% Gap,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,0.989,0.999,0.999,0.999,0.999
