Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Overtime Hrs (Week Days),1636.666667,1966.111111,870.2777778,1038,768,0,88.5,0,533.5,0,0,0,589.6111111
Average Wkg Hrs(Week Days),11.86813187,11.77705977,10.35719726,10.67839196,9.353333333,8.5,8.598333333,8.5,9.092777778,8.5,8.5,8.5,9.103011364
H'day & Weekend Working Hrs,200,400,245,100,200,100,12,90,90,90,50,18,12
Expected Working Hrs,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
