Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Monthly Turnover,0,3,0,1,1,1,0,1,1,1,1,0,2
Attrition Rate,0.044117647,0.086956522,0.086956522,0.101449275,0.108108108,0.126760563,0.126760563,0.136986301,0.150684932,0.150684932,0.135135135,0.133333333,0.155844156
