Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
WV/Processor HCT,5948.275862,10741.37931,93862.06897,6810.344828,7600,6133.333333,9833.333333,8419.354839,8129.032258,8532.258065,8142.857143,8000,8257.575758
No Of Processors,58,58,58,58,60,60,60,62,62,62,63,64,66
Standard WV per Processor HCT,10020,10020,10020,10020,10020,10020,10020,10020,10020,10020,10020,10020,10020
