Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
KEN,37.01395062,32.79987654,31.57518519,31.57679012,39.98037037,36.74493827,37.85716049,35.30197531,35.11123457,36.78814815,40.41123457,39.30975309,45.00753086
UGA,7.422592593,12.43246914,6.700617284,6.094691358,7.155555556,6.927283951,7.350617284,6.582839506,5.438271605,6.508271605,6.768518519,6.337407407,7.734444444
TZA,7.249012346,6.774074074,8.614691358,7.182345679,8.576790123,7.198765432,8.783333333,6.530864198,6.688271605,7.553580247,8.77617284,7.000246914,9.612716049
ZAM,5.973703704,5.12617284,5.081851852,5.538888889,9.238271605,5.69345679,6.127777778,6.170246914,5.641111111,5.531975309,6.052962963,6.424444444,7.197654321
BOT,4.291358025,4.207407407,3.88962963,4.275679012,4.257160494,4.213703704,4.785925926,4.45345679,4.159259259,4.601851852,4.481358025,4.325555556,5.03617284
ZAR,14.40320988,16.40518519,11.36641975,5.923703704,7.893333333,9.076296296,7.885432099,5.516049383,5.290123457,5.637407407,6.059012346,5.303333333,8.513703704
