Parameter,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Total Overtime Hrs,1836.666667,2366.111111,1115.277778,1138,968,100,100.5,90,623.5,90,50,18,601.6111111
% Overtime,0.318681319,0.362129071,0.160941195,0.150489289,0.115789474,0.01215978,0.011767461,0.010737081,0.073005093,0.010062924,0.005220811,0.002034435,0.064966074
